,station_name,show_type,show_kind_name,show_description,show_id,show_title,show_date,show_since,show_till,relation_type,show_duration_minutes,moderators,respondent
45,Radiožurnál,AFTERNOON,Zpravodajství,"O všem, co se právě děje",18615603,Hlavní zprávy - rozhovory a komentáře,2023-04-01,12:09:47,12:30:00,premiéra,21,,
129,Radiožurnál,AFTERNOON,Zpravodajství,"O všem, co se právě děje",18615787,Hlavní zprávy - rozhovory a komentáře,2023-04-02,12:09:18,12:30:00,premiéra,21,,
215,Radiožurnál,AFTERNOON,Zpravodajství,"O všem, co se právě děje",18638357,Hlavní zprávy - rozhovory a komentáře,2023-04-03,12:10:00,12:30:00,premiéra,20,,
233,Radiožurnál,AFTERNOON,Publicistika,"Hostem je Hana Kordová Marvanová, právnička a senátorka. Prezident Petr Pavel vybírá první trojici kandidátů na uvolněná místa na Ústavním soudu. Je správné, když při výběru otevřeně spoléhá na návrhy uznávaných institucí a organizací z oblasti práva a justice? Nebo tím narušuje ústavní dělbu moci, jak mu vyčítá například bývalý předseda Senátu Petr Pithart? Moderuje Tomáš Pancíř.",18638395,Dvacet minut Radiožurnálu,2023-04-03,17:06:00,17:30:00,premiéra,24,Tomáš Pancíř,Hana Kordová Marvanová;Petr Pavel;Petr Pithart
236,Radiožurnál,EVENING,Zpravodajství,"O všem, co se právě děje",18638402,Hlavní zprávy - rozhovory a komentáře,2023-04-03,18:10:59,18:30:00,premiéra,20,,
304,Radiožurnál,AFTERNOON,Zpravodajství,"O všem, co se právě děje",18638555,Hlavní zprávy - rozhovory a komentáře,2023-04-04,12:10:00,12:30:00,premiéra,20,,
322,Radiožurnál,AFTERNOON,Publicistika,"Hostem je Jana Cíglerová, zpravodajka Deníku N ve Spojených státech. Donald Trump si v New Yorku coby první z bývalých amerických prezidentů vyslechne obžalobu. S jakými opatřeními bude tato nezvyklá událost spojena? Může se odehrát něco podobného, jako byl útok Trumpových příznivců na Kapitol v lednu 2021? Moderuje Tomáš Pancíř.",18638593,Dvacet minut Radiožurnálu,2023-04-04,17:06:00,17:30:00,premiéra,24,Tomáš Pancíř,Donald Trump
325,Radiožurnál,EVENING,Zpravodajství,"O všem, co se právě děje",18638600,Hlavní zprávy - rozhovory a komentáře,2023-04-04,18:10:59,18:30:00,premiéra,20,,
392,Radiožurnál,AFTERNOON,Zpravodajství,"O všem, co se právě děje",18638754,Hlavní zprávy - rozhovory a komentáře,2023-04-05,12:10:00,12:30:00,premiéra,20,,
410,Radiožurnál,AFTERNOON,Publicistika,"Hostem je poslankyně Hana Naiclerová z hnutí STAN, která patří mezi zastánce ochrany anonymních oznamovatelů. Měl by se zákon, který chrání oznamovatele protiprávního jednání před případnou odvetou zejména ze strany zaměstnavatelů vztahovat také na anonymní oznamovatele? Je možné a správné chránit osobu, která se skrývá za anonymní vyjádření? Nehrozí, že vedení firem a úřadů budou zavaleny anonymními stížnostmi? Moderuje Tomáš Pancíř.",18638792,Dvacet minut Radiožurnálu,2023-04-05,17:06:00,17:30:00,premiéra,24,Tomáš Pancíř,Hana Naiclerová
413,Radiožurnál,EVENING,Zpravodajství,"O všem, co se právě děje",18638799,Hlavní zprávy - rozhovory a komentáře,2023-04-05,18:10:59,18:30:00,premiéra,20,,
498,Radiožurnál,AFTERNOON,Publicistika,"Hostem je Karel Řehka, náčelník generálního štábu české armády. Severoatlantická aliance přijala tento týden do svých řad nového člena - Finsko. Jak se změní NATO příchodem země, která má přes tisíc kilometrů dlouhou společnou hranici s Ruskem? Jak se v tomto roce bude vyvíjet válka na Ukrajině a jakou pomoc může Ukrajincům poskytnout Armáda ČR? Moderuje Tomáš Pancíř.",18638990,Dvacet minut Radiožurnálu,2023-04-06,17:05:53,17:29:53,premiéra,24,Tomáš Pancíř,Karel Řehka
501,Radiožurnál,EVENING,Zpravodajství,"O všem, co se právě děje",18638997,Hlavní zprávy - rozhovory a komentáře,2023-04-06,18:09:59,18:30:00,premiéra,21,,
565,Radiožurnál,AFTERNOON,Zpravodajství,"O všem, co se právě děje",18639150,Hlavní zprávy - rozhovory a komentáře,2023-04-07,12:10:13,12:30:00,premiéra,20,,
582,Radiožurnál,AFTERNOON,Publicistika,"Hostem je Stanislav Biler, sociolog, novinář a spisovatel. Jak si vedl Petr Pavel v prvním měsíci v prezidentské funkci? Byl rozhodný, nebo spíše rozpačitý? Pokud udělal chyby, tak v čem? Moderuje Tomáš Pancíř.",18639188,Dvacet minut Radiožurnálu,2023-04-07,17:05:23,17:29:24,premiéra,25,Tomáš Pancíř,Stanislav Biler;Petr Pavel
647,Radiožurnál,AFTERNOON,Zpravodajství,"O všem, co se právě děje",18639336,Hlavní zprávy - rozhovory a komentáře,2023-04-08,12:09:55,12:30:00,premiéra,21,,
729,Radiožurnál,AFTERNOON,Zpravodajství,"O všem, co se právě děje",18639520,Hlavní zprávy - rozhovory a komentáře,2023-04-09,12:10:07,12:30:00,premiéra,20,,
811,Radiožurnál,AFTERNOON,Zpravodajství,"O všem, co se právě děje",18652688,Hlavní zprávy - rozhovory a komentáře,2023-04-10,12:10:00,12:30:00,premiéra,20,,
828,Radiožurnál,AFTERNOON,Publicistika,"Hostem je Gabriela Drastichová, ředitelka Nadačního fondu Českého rozhlasu. Češi neváhají štědře podporovat charitativní a humanitární projekty. Nezchladila naše nadšení vysoká inflace? Kde a jak získávají neziskové organizace peníze na svoji činnost? Moderuje Vladimír Kroc.",18652726,Dvacet minut Radiožurnálu,2023-04-10,17:06:00,17:30:00,premiéra,24,Vladimír Kroc,Vladimír Kroc
896,Radiožurnál,AFTERNOON,Zpravodajství,"O všem, co se právě děje",18652886,Hlavní zprávy - rozhovory a komentáře,2023-04-11,12:10:00,12:30:17,premiéra,21,,
914,Radiožurnál,AFTERNOON,Publicistika,"Hostem je ekonom Vladimír Bezděk, poradce prezidenta Petra Pavla, v minulosti vedoucí důchodové komise. Přestože čeští politici neustále diskutují o důchodové reformě, někteří odborníci soudí, že na skutečnou reformu už je pozdě. Pokud je to pravda, co to znamená pro budoucí generace? Nezbývá nám, než na reformu penzí rezignovat, nebo se v sociální oblasti stále dá mnohé vylepšit? Moderuje Vladimír Kroc.",18652924,Dvacet minut Radiožurnálu,2023-04-11,17:06:00,17:30:00,premiéra,24,Vladimír Kroc,Vladimír Bezděk;Petr Pavel;Vladimír Kroc
917,Radiožurnál,EVENING,Zpravodajství,"O všem, co se právě děje",18652931,Hlavní zprávy - rozhovory a komentáře,2023-04-11,18:10:59,18:30:00,premiéra,20,,
986,Radiožurnál,AFTERNOON,Zpravodajství,"O všem, co se právě děje",18653085,Hlavní zprávy - rozhovory a komentáře,2023-04-12,12:10:01,12:30:00,premiéra,20,,
1004,Radiožurnál,AFTERNOON,Publicistika,"Hostem je Radka Vladyková, výkonná ředitelka Svazu měst a obcí. Vláda projednává připomínky ke svému záměru rušit pobočky České pošty, kterou čeká nezbytná ozdravná kúra. Měla by vláda při redukci poštovní sítě postupovat jinak? A jaké reakce vzbudilo oznámené rušení finančních úřadů? Moderuje Tomáš Pancíř.",18653123,Dvacet minut Radiožurnálu,2023-04-12,17:06:25,17:29:54,premiéra,24,Tomáš Pancíř,
1007,Radiožurnál,EVENING,Zpravodajství,"O všem, co se právě děje",18653130,Hlavní zprávy - rozhovory a komentáře,2023-04-12,18:10:14,18:30:00,premiéra,20,,
1072,Radiožurnál,AFTERNOON,Zpravodajství,"O všem, co se právě děje",18653283,Hlavní zprávy - rozhovory a komentáře,2023-04-13,12:10:18,12:30:00,premiéra,20,,
1090,Radiožurnál,AFTERNOON,Publicistika,"Hostem je ekonom Petr Musil, člen Národní rozpočtové rady. Ministerstvo financí mírně zlepšilo odhad vývoje české ekonomiky v tomto roce. Jak se bude letos vyvíjet státní rozpočet? Podaří se snížit rozpočtový schodek? Moderuje Tomáš Pancíř.",18653321,Dvacet minut Radiožurnálu,2023-04-13,17:06:17,17:29:53,premiéra,24,Tomáš Pancíř,Petr Musil
1093,Radiožurnál,EVENING,Zpravodajství,"O všem, co se právě děje",18653328,Hlavní zprávy - rozhovory a komentáře,2023-04-13,18:10:09,18:30:00,premiéra,20,,
1160,Radiožurnál,AFTERNOON,Zpravodajství,"O všem, co se právě děje",18653481,Hlavní zprávy - rozhovory a komentáře,2023-04-14,12:10:09,12:30:00,premiéra,20,,
1178,Radiožurnál,AFTERNOON,Publicistika,"Hostem je Ivana Karásková, odbornice na Čínu a poradkyně místopředsedkyně Evropské komise Věry Jourové. Čínská vojenská plavidla v minulém týdnu opět obklíčila Tchajwan a čínské vojenské letouny nacvičovaly napadení ostrova. Má pravdu francouzský prezident Emmanuel Macron, který při návštěvě Číny řekl, že Evropa se nemá nechat vtáhnout do konfliktů, které se jí netýkají? Má Evropská unie k Tchajwanu ohrožovanému Čínou jednotný postoj? A pokud ano, blíží se názoru francouzského prezidenta? Moderuje Vladimír Kroc.",18653519,Dvacet minut Radiožurnálu,2023-04-14,17:05:47,17:29:12,premiéra,24,Vladimír Kroc,Věra Jourová;Emmanuel Macron;Vladimír Kroc
1181,Radiožurnál,EVENING,Zpravodajství,"O všem, co se právě děje",18653526,Hlavní zprávy - rozhovory a komentáře,2023-04-14,18:09:56,18:30:00,premiéra,21,,
1246,Radiožurnál,AFTERNOON,Zpravodajství,"O všem, co se právě děje",18653667,Hlavní zprávy - rozhovory a komentáře,2023-04-15,12:10:05,12:30:00,premiéra,20,,
1323,Radiožurnál,AFTERNOON,Zpravodajství,"O všem, co se právě děje",18653851,Hlavní zprávy - rozhovory a komentáře,2023-04-16,12:09:05,12:30:00,premiéra,21,,
1408,Radiožurnál,AFTERNOON,Zpravodajství,"O všem, co se právě děje",18661294,Hlavní zprávy - rozhovory a komentáře,2023-04-17,12:10:00,12:30:00,premiéra,20,,
1426,Radiožurnál,AFTERNOON,Publicistika,"Hostem je reportér týdeníku Respekt Ondřej Kundra, který se dlouhodobě zabývá ruskými zpravodajskými službami. Přesně před dvěma lety tehdejší premiér Andrej Babiš seznámil veřejnost se zjištěním, podle něhož za výbuchem vojenského skladu ve Vrběticích stála ruská tajná služba GRU. Dočká se Česko někdy od ruského státu omluvy a odškodného? Jak se v uplynulé době proměnily aktivity ruských špionů působících na území západních států? Moderuje Vladimír Kroc.",18661332,Dvacet minut Radiožurnálu,2023-04-17,17:06:00,17:30:00,premiéra,24,Vladimír Kroc,Ondřej Kundra;Andrej Babiš;Vladimír Kroc
1429,Radiožurnál,EVENING,Zpravodajství,"O všem, co se právě děje",18661339,Hlavní zprávy - rozhovory a komentáře,2023-04-17,18:10:59,18:30:00,premiéra,20,,
1497,Radiožurnál,AFTERNOON,Zpravodajství,"O všem, co se právě děje",18661492,Hlavní zprávy - rozhovory a komentáře,2023-04-18,12:10:00,12:30:00,premiéra,20,,
