station_name,show_type,show_kind_name,show_description,show_id,show_title,show_date,show_since,show_till,relation_type,show_duration_minutes,moderators
Radiožurnál,NIGHT,Zpravodajství,"Zpravodajství z Česka i ze světa. Sport, Zelená vlna a předpověď počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615502,Zprávy,2023-04-01,00:00:00,00:08:34,premiéra,9,
Radiožurnál,NIGHT,Publicistika,"Hostem je Vít Janiš z Mendelovy univerzity v Brně. Stovky podnikatelů, odborníků a vědců včetně Elona Muska či Steva Wozniaka vyzývají vývojáře, aby dočasně pozastavili vývoj výkonných systémů umělé inteligence. Vít Janiš je jedním z českých signatářů výzvy. Co se může při spontánním vývoji umělé inteligence stát? Může být výzva účinná? Moderuje Vladimír Kroc. (repríza)",18615505,Dvacet minut Radiožurnálu,2023-04-01,00:10:05,00:34:18,repríza,25,Vladimír Kroc
Radiožurnál,NIGHT,Zpravodajství,"Z domova i ze světa. Sport, Zelená vlna a počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615506,Zprávy,2023-04-01,00:34:18,00:36:41,premiéra,3,
Radiožurnál,NIGHT,"Magazín zprav., publicistiky a hudby",Aktuální reportáže a nejrychlejší zpravodajství. Moderuje Jiří Štefl.,18615509,Noční Radiožurnál,2023-04-01,00:37:52,01:00:00,premiéra,23,Jiří Štefl
Radiožurnál,NIGHT,Zpravodajství,"Zpravodajství z Česka i ze světa. Sport, Zelená vlna a předpověď počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615510,Zprávy,2023-04-01,01:00:00,01:04:21,premiéra,5,
Radiožurnál,NIGHT,"Magazín zprav., publicistiky a hudby",Aktuální reportáže a nejrychlejší zpravodajství. Moderuje Jiří Štefl.,18615513,Noční Radiožurnál,2023-04-01,01:05:39,02:00:00,premiéra,55,Jiří Štefl
Radiožurnál,NIGHT,Zpravodajství,"Z domova i ze světa. Sport, Zelená vlna a počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615514,Zprávy,2023-04-01,01:30:00,01:32:28,premiéra,3,
Radiožurnál,NIGHT,Zpravodajství,"Zpravodajství z Česka i ze světa. Sport, Zelená vlna a předpověď počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615517,Zprávy,2023-04-01,02:00:00,02:03:56,premiéra,4,
Radiožurnál,NIGHT,"Magazín zprav., publicistiky a hudby",Aktuální reportáže a nejrychlejší zpravodajství. Moderuje Jiří Štefl.,18615520,Noční Radiožurnál,2023-04-01,02:05:36,03:00:00,premiéra,55,Jiří Štefl
Radiožurnál,NIGHT,Zpravodajství,"Z domova i ze světa. Sport, Zelená vlna a počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615521,Zprávy,2023-04-01,02:30:00,02:32:24,premiéra,3,
Radiožurnál,NIGHT,Zpravodajství,"Zpravodajství z Česka i ze světa. Sport, Zelená vlna a předpověď počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615524,Zprávy,2023-04-01,03:00:00,03:04:31,premiéra,5,
