show,episode,date,time,link,teaser,moderator,topicsCount,toParse,respondent_first_name,respondent_last_name,respondent_function
Hlavní zprávy - rozhovory a komentáře,Jednodenní vzpoura wagnerovců. Putinovy nadcházející kroky. Prigožinův osud,2023-06-25,12:10,https://plus.rozhlas.cz/poledni-publicistika-jednodenni-vzpoura-wagnerovcu-putinovy-nadchazejici-kroky-9021111,"Vzpoura wagnerových žoldnéřů trvala jeden den. V neděli už se stahují na základny a sám Jevgenij Prigožin se má údajně emigrovat do Běloruska. Kreml zaručil beztrestnost. Wagnerovci se ale dostali na 200 kilometrů od Moskvy a obsadili Rostov, sídlo velení ruské armády. Co chtěl šéf wagnerovců vlastně dokázat? Jak moc byla akce wagnerovců připravená? Jaké kroky se teď dají čekat od Vladimira Putina? A jak pravděpodobná je občanská válka? Poslechněte si polední publicistiku.","Štechrová,Věra",3,"Hosty Věry Štechrové byli:Jan Šír, politolog z Institutu mezinárodních studií Fakulty sociálních věd UK;Milan Mikulecký, vojenský analytik;Milan Slezák, zahraničně-politický komentátor Českého rozhlasu.",Jan,Šír,politolog z Institutu mezinárodních studií Fakulty sociálních věd UK
Hlavní zprávy - rozhovory a komentáře,Jednodenní vzpoura wagnerovců. Putinovy nadcházející kroky. Prigožinův osud,2023-06-25,12:10,https://plus.rozhlas.cz/poledni-publicistika-jednodenni-vzpoura-wagnerovcu-putinovy-nadchazejici-kroky-9021111,"Vzpoura wagnerových žoldnéřů trvala jeden den. V neděli už se stahují na základny a sám Jevgenij Prigožin se má údajně emigrovat do Běloruska. Kreml zaručil beztrestnost. Wagnerovci se ale dostali na 200 kilometrů od Moskvy a obsadili Rostov, sídlo velení ruské armády. Co chtěl šéf wagnerovců vlastně dokázat? Jak moc byla akce wagnerovců připravená? Jaké kroky se teď dají čekat od Vladimira Putina? A jak pravděpodobná je občanská válka? Poslechněte si polední publicistiku.","Štechrová,Věra",3,"Hosty Věry Štechrové byli:Jan Šír, politolog z Institutu mezinárodních studií Fakulty sociálních věd UK;Milan Mikulecký, vojenský analytik;Milan Slezák, zahraničně-politický komentátor Českého rozhlasu.",Milan,Mikulecký,vojenský analytik
Hlavní zprávy - rozhovory a komentáře,Jednodenní vzpoura wagnerovců. Putinovy nadcházející kroky. Prigožinův osud,2023-06-25,12:10,https://plus.rozhlas.cz/poledni-publicistika-jednodenni-vzpoura-wagnerovcu-putinovy-nadchazejici-kroky-9021111,"Vzpoura wagnerových žoldnéřů trvala jeden den. V neděli už se stahují na základny a sám Jevgenij Prigožin se má údajně emigrovat do Běloruska. Kreml zaručil beztrestnost. Wagnerovci se ale dostali na 200 kilometrů od Moskvy a obsadili Rostov, sídlo velení ruské armády. Co chtěl šéf wagnerovců vlastně dokázat? Jak moc byla akce wagnerovců připravená? Jaké kroky se teď dají čekat od Vladimira Putina? A jak pravděpodobná je občanská válka? Poslechněte si polední publicistiku.","Štechrová,Věra",3,"Hosty Věry Štechrové byli:Jan Šír, politolog z Institutu mezinárodních studií Fakulty sociálních věd UK;Milan Mikulecký, vojenský analytik;Milan Slezák, zahraničně-politický komentátor Českého rozhlasu.",Milan,Slezák,zahraničně-politický komentátor Českého rozhlasu
Hlavní zprávy - rozhovory a komentáře,Wagnerovci v Rusku. Putinova reakce na konflikt. Dopad na ukrajinské boje,2023-06-24,12:10,https://plus.rozhlas.cz/poledni-publicistika-wagnerovci-v-rusku-putinova-reakce-na-konflikt-dopad-na-9020886,"Stačila jedna noc a situace v Rusku se zásadně změnila. Zdá se, že došlo k otevřenému konfliktu mezi soukromou armádou Wagnerovců, která tvrdí, že byla napadená ruskou armádou. Prigožinovi žoldnéři podle dostupných informací stáhli do Ruska a minimálně obsadili Rostov na Donu. Jsou ale věci opravdu tak, jak vypadají? Jak si nyní poradí prezident Putin? Může celá tahle situace přerůst v občanskou válku a co to znamená pro Ukrajinu? Poslechněte si celou polední publicistiku.","Štechrová,Věra",3,"Hosty Věry Štechrové byli:Jiří Just, publicista v Moskvě;Libor Jelen, politický geograf;Vlastislav Bříza, odborník na jaderné zbraně.",Jiří,Just,publicista v Moskvě
Hlavní zprávy - rozhovory a komentáře,Wagnerovci v Rusku. Putinova reakce na konflikt. Dopad na ukrajinské boje,2023-06-24,12:10,https://plus.rozhlas.cz/poledni-publicistika-wagnerovci-v-rusku-putinova-reakce-na-konflikt-dopad-na-9020886,"Stačila jedna noc a situace v Rusku se zásadně změnila. Zdá se, že došlo k otevřenému konfliktu mezi soukromou armádou Wagnerovců, která tvrdí, že byla napadená ruskou armádou. Prigožinovi žoldnéři podle dostupných informací stáhli do Ruska a minimálně obsadili Rostov na Donu. Jsou ale věci opravdu tak, jak vypadají? Jak si nyní poradí prezident Putin? Může celá tahle situace přerůst v občanskou válku a co to znamená pro Ukrajinu? Poslechněte si celou polední publicistiku.","Štechrová,Věra",3,"Hosty Věry Štechrové byli:Jiří Just, publicista v Moskvě;Libor Jelen, politický geograf;Vlastislav Bříza, odborník na jaderné zbraně.",Libor,Jelen,politický geograf
Hlavní zprávy - rozhovory a komentáře,Wagnerovci v Rusku. Putinova reakce na konflikt. Dopad na ukrajinské boje,2023-06-24,12:10,https://plus.rozhlas.cz/poledni-publicistika-wagnerovci-v-rusku-putinova-reakce-na-konflikt-dopad-na-9020886,"Stačila jedna noc a situace v Rusku se zásadně změnila. Zdá se, že došlo k otevřenému konfliktu mezi soukromou armádou Wagnerovců, která tvrdí, že byla napadená ruskou armádou. Prigožinovi žoldnéři podle dostupných informací stáhli do Ruska a minimálně obsadili Rostov na Donu. Jsou ale věci opravdu tak, jak vypadají? Jak si nyní poradí prezident Putin? Může celá tahle situace přerůst v občanskou válku a co to znamená pro Ukrajinu? Poslechněte si celou polední publicistiku.","Štechrová,Věra",3,"Hosty Věry Štechrové byli:Jiří Just, publicista v Moskvě;Libor Jelen, politický geograf;Vlastislav Bříza, odborník na jaderné zbraně.",Vlastislav,Bříza,odborník na jaderné zbraně
Hlavní zprávy - rozhovory a komentáře,Podmínky pro splácení hypoték. Dětská kriminalita v Česku. Ponorka Titan,2023-06-23,18:10,https://plus.rozhlas.cz/odpoledni-publicistika-podminky-pro-splaceni-hypotek-detska-kriminalita-v-cesku-9020613,Měly by se upravit podmínky pro předčasné splácení hypoték před koncem fixace? Proč v Česku znovu výrazně přibývá případů dětské kriminality? A proč drama kolem ponorky Titan dostalo větší mediální prostor než potopení lodi se stovkami migrantů u Řecka?,"Štechrová,Věra",3,"Hosty Věry Štechrové jsou:Jiří Sýkora, hypoteční analytik společnosti Fincentrum;Jakub Valníček, projektový manažer investiční platformu portu.cz;Jana Hulmáková, Institut pro kriminologii a sociální prevenci;Ivan Kytka, spolupracovník Deníku N v Londýně.",Jiří,Sýkora,hypoteční analytik společnosti Fincentrum
Hlavní zprávy - rozhovory a komentáře,Podmínky pro splácení hypoték. Dětská kriminalita v Česku. Ponorka Titan,2023-06-23,18:10,https://plus.rozhlas.cz/odpoledni-publicistika-podminky-pro-splaceni-hypotek-detska-kriminalita-v-cesku-9020613,Měly by se upravit podmínky pro předčasné splácení hypoték před koncem fixace? Proč v Česku znovu výrazně přibývá případů dětské kriminality? A proč drama kolem ponorky Titan dostalo větší mediální prostor než potopení lodi se stovkami migrantů u Řecka?,"Štechrová,Věra",3,"Hosty Věry Štechrové jsou:Jiří Sýkora, hypoteční analytik společnosti Fincentrum;Jakub Valníček, projektový manažer investiční platformu portu.cz;Jana Hulmáková, Institut pro kriminologii a sociální prevenci;Ivan Kytka, spolupracovník Deníku N v Londýně.",Jakub,Valníček,projektový manažer investiční platformu portu cz
Hlavní zprávy - rozhovory a komentáře,Podmínky pro splácení hypoték. Dětská kriminalita v Česku. Ponorka Titan,2023-06-23,18:10,https://plus.rozhlas.cz/odpoledni-publicistika-podminky-pro-splaceni-hypotek-detska-kriminalita-v-cesku-9020613,Měly by se upravit podmínky pro předčasné splácení hypoték před koncem fixace? Proč v Česku znovu výrazně přibývá případů dětské kriminality? A proč drama kolem ponorky Titan dostalo větší mediální prostor než potopení lodi se stovkami migrantů u Řecka?,"Štechrová,Věra",3,"Hosty Věry Štechrové jsou:Jiří Sýkora, hypoteční analytik společnosti Fincentrum;Jakub Valníček, projektový manažer investiční platformu portu.cz;Jana Hulmáková, Institut pro kriminologii a sociální prevenci;Ivan Kytka, spolupracovník Deníku N v Londýně.",Jana,Hulmáková,Institut pro kriminologii a sociální prevenci
Hlavní zprávy - rozhovory a komentáře,Podmínky pro splácení hypoték. Dětská kriminalita v Česku. Ponorka Titan,2023-06-23,18:10,https://plus.rozhlas.cz/odpoledni-publicistika-podminky-pro-splaceni-hypotek-detska-kriminalita-v-cesku-9020613,Měly by se upravit podmínky pro předčasné splácení hypoték před koncem fixace? Proč v Česku znovu výrazně přibývá případů dětské kriminality? A proč drama kolem ponorky Titan dostalo větší mediální prostor než potopení lodi se stovkami migrantů u Řecka?,"Štechrová,Věra",3,"Hosty Věry Štechrové jsou:Jiří Sýkora, hypoteční analytik společnosti Fincentrum;Jakub Valníček, projektový manažer investiční platformu portu.cz;Jana Hulmáková, Institut pro kriminologii a sociální prevenci;Ivan Kytka, spolupracovník Deníku N v Londýně.",Ivan,Kytka,spolupracovník Deníku N v Londýně
